code,name,industry,peer_count,revenue_q2_yoy_peer_rank,revenue_q2_yoy_peer_pct,net_profit_q2_yoy_peer_rank,net_profit_q2_yoy_peer_pct,gross_margin_delta_peer_rank,gross_margin_delta_peer_pct,roe_h1_2026_peer_rank,roe_h1_2026_peer_pct,ocf_total_ratio_peer_rank,ocf_total_ratio_peer_pct,preliminary_convexity_score_peer_rank,preliminary_convexity_score_peer_pct,pe_dynamic_peer_rank,pe_dynamic_peer_pct,peer_quality_score,top_peers_json
688758,赛分科技,化学制药,157,6,0.9675324675324676,29,0.821656050955414,23,0.8580645161290322,17,0.8974358974358975,103,0.3503184713375796,4,0.9808917197452229,86.0,0.21296296296296297,72.7,"[{""code"": ""300765"", ""name"": ""石药创新"", ""score"": 82.39}, {""code"": ""600267"", ""name"": ""海正药业"", ""score"": 81.31}, {""code"": ""688166"", ""name"": ""博瑞医药"", ""score"": 80.33}, {""code"": ""688758"", ""name"": ""赛分科技"", ""score"": 79.61}, {""code"": ""688505"", ""name"": ""复旦张江"", ""score"": 75.46}]"
600717,天津港,航运港口,35,34,0.05714285714285714,11,0.7142857142857143,4,0.9142857142857143,22,0.4,16,0.5714285714285714,3,0.9428571428571428,6.0,0.8529411764705882,63.61,"[{""code"": ""603162"", ""name"": ""海通发展"", ""score"": 85.73}, {""code"": ""920571"", ""name"": ""国航远洋"", ""score"": 81.82}, {""code"": ""600717"", ""name"": ""天津港"", ""score"": 79.61}, {""code"": ""000520"", ""name"": ""凤凰航运"", ""score"": 78.36}, {""code"": ""600179"", ""name"": ""安通控股"", ""score"": 76.97}]"
301536,星宸科技,半导体,185,16,0.918918918918919,1,0.9540540540540541,10,0.9513513513513514,7,0.9675675675675676,108,0.42162162162162165,5,0.9783783783783784,95.0,0.2824427480916031,78.2,"[{""code"": ""688110"", ""name"": ""东芯股份"", ""score"": 82.47}, {""code"": ""688766"", ""name"": ""普冉股份"", ""score"": 82.41}, {""code"": ""688620"", ""name"": ""安凯微"", ""score"": 79.93}, {""code"": ""688469"", ""name"": ""芯联集成"", ""score"": 79.64}, {""code"": ""301536"", ""name"": ""星宸科技"", ""score"": 79.6}]"
600490,鹏欣资源,工业金属,58,10,0.8448275862068966,9,0.8620689655172413,7,0.896551724137931,40,0.3275862068965517,4,0.9482758620689655,2,0.9827586206896551,46.0,0.0625,70.35,"[{""code"": ""000612"", ""name"": ""焦作万方"", ""score"": 81.79}, {""code"": ""600490"", ""name"": ""鹏欣资源"", ""score"": 79.53}, {""code"": ""000737"", ""name"": ""北方铜业"", ""score"": 78.43}, {""code"": ""603271"", ""name"": ""永杰新材"", ""score"": 76.3}, {""code"": ""600497"", ""name"": ""驰宏锌锗"", ""score"": 74.72}]"
920174,五新智能,基础建设,44,3,0.9545454545454546,3,0.9545454545454546,5,0.9090909090909091,1,1.0,16,0.6590909090909091,1,1.0,17.0,0.30434782608695654,82.59,"[{""code"": ""920174"", ""name"": ""五新智能"", ""score"": 79.49}, {""code"": ""600512"", ""name"": ""腾达建设"", ""score"": 62.41}, {""code"": ""600039"", ""name"": ""四川路桥"", ""score"": 61.29}, {""code"": ""600528"", ""name"": ""中铁工业"", ""score"": 60.95}, {""code"": ""600284"", ""name"": ""浦东建设"", ""score"": 59.26}]"
301071,力量钻石,非金属材料Ⅱ,14,1,1.0,2,0.9285714285714286,1,1.0,9,0.42857142857142855,1,1.0,1,1.0,7.0,0.3333333333333333,81.29,"[{""code"": ""301071"", ""name"": ""力量钻石"", ""score"": 79.33}, {""code"": ""920083"", ""name"": ""金戈新材"", ""score"": 63.18}, {""code"": ""603826"", ""name"": ""坤彩科技"", ""score"": 61.96}, {""code"": ""920675"", ""name"": ""秉扬科技"", ""score"": 59.3}, {""code"": ""688300"", ""name"": ""联瑞新材"", ""score"": 58.75}]"
000990,诚志股份,化学原料,61,30,0.5245901639344263,11,0.8360655737704918,16,0.7540983606557377,38,0.39344262295081966,13,0.8032786885245902,1,1.0,,,71.86,"[{""code"": ""000990"", ""name"": ""诚志股份"", ""score"": 79.24}, {""code"": ""002274"", ""name"": ""华昌化工"", ""score"": 78.97}, {""code"": ""601678"", ""name"": ""滨化股份"", ""score"": 78.18}, {""code"": ""600746"", ""name"": ""江苏索普"", ""score"": 76.43}, {""code"": ""600075"", ""name"": ""新疆天业"", ""score"": 75.31}]"
688202,美迪西,医疗服务,54,5,0.9259259259259259,1,0.9629629629629629,1,1.0,23,0.5925925925925926,8,0.8703703703703703,1,1.0,,,89.2,"[{""code"": ""688202"", ""name"": ""美迪西"", ""score"": 79.19}, {""code"": ""688710"", ""name"": ""益诺思"", ""score"": 77.57}, {""code"": ""603882"", ""name"": ""金域医学"", ""score"": 77.38}, {""code"": ""301239"", ""name"": ""普瑞眼科"", ""score"": 76.55}, {""code"": ""688222"", ""name"": ""成都先导"", ""score"": 74.81}]"
688678,福立旺,消费电子,99,6,0.9494949494949495,8,0.9292929292929293,4,0.9696969696969697,36,0.6464646464646465,18,0.8282828282828283,1,1.0,46.0,0.3181818181818182,80.59,"[{""code"": ""688678"", ""name"": ""福立旺"", ""score"": 79.14}, {""code"": ""300976"", ""name"": ""达瑞电子"", ""score"": 74.91}, {""code"": ""603341"", ""name"": ""龙旗科技"", ""score"": 73.36}, {""code"": ""605277"", ""name"": ""新亚电子"", ""score"": 72.63}, {""code"": ""300866"", ""name"": ""安克创新"", ""score"": 72.62}]"
600676,久事动娱,体育Ⅱ,3,3,0.3333333333333333,1,1.0,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,1,1.0,,,72.22,"[{""code"": ""600676"", ""name"": ""久事动娱"", ""score"": 79.07}, {""code"": ""002858"", ""name"": ""力盛体育"", ""score"": 56.43}, {""code"": ""600158"", ""name"": ""中体产业"", ""score"": 36.36}]"
